snv,qtd_2007,qtd_2008,qtd_2009,qtd_2010,qtd_2011,qtd_2012
050BGO0135,13,15,23,13,17,25
050BGO0140,9,13,15,9,7,4
050BGO0150,45,33,48,43,73,58
050BGO0152,48,73,54,72,57,57
050BGO0154,9,8,17,10,7,4
050BMG0170,40,35,30,34,43,64
050BMG0190,58,74,66,60,67,80
050BMG0210,172,187,211,220,234,212
050BMG0240,140,170,171,253,264,289
050BMG0250,179,189,196,225,234,239
050BMG0260,133,131,126,141,144,167
050BMG0265,69,71,56,61,71,69
050BMG0270,43,55,59,68,81,84
050BMG0285,21,22,23,26,23,30
060BDF0010,28,17,33,27,29,43
060BDF0011,24,20,18,27,37,43
060BDF0012,57,46,54,37,80,57
060BDF0014,24,25,31,20,20,25
060BDF0030,38,25,24,30,30,29
060BDF0050,24,16,18,26,25,33
060BDF0070,9,7,20,18,9,9
060BGO0092,80,97,96,138,126,89
060BGO0100,11,13,20,13,15,12
060BGO0110,126,127,157,174,128,93
060BGO0111,8,10,4,6,13,8
060BGO0112,141,180,195,208,196,197
060BGO0114,91,96,118,114,147,157
060BGO0116,76,139,183,145,142,114
060BGO0118,250,306,367,335,274,232
060BGO0130,4,5,8,11,4,NULL
060BGO0152,163,181,265,309,246,180
060BGO0170,61,79,73,69,80,83
060BGO0172,13,17,14,10,18,31
060BGO0190,20,13,25,20,18,25
060BGO0210,53,48,51,60,56,57
060BGO0230,80,96,103,104,76,85
060BGO0232,33,33,30,42,43,32
060BGO0250,30,30,33,42,30,46
060BGO0252,43,51,54,43,65,79
060BGO0270,60,75,96,90,130,132
060BGO0271,73,118,94,136,179,205
060BGO0272,NULL,1,3,4,NULL,1
060BGO0273,3,9,11,6,7,9
060BGO0290,2,1,4,NULL,3,NULL
060BGO0292,1,1,NULL,NULL,NULL,NULL
060BGO9030,27,16,23,44,25,33
060BGO9040,26,42,42,33,26,27
060BMS0370,1,NULL,3,1,1,1
060BMS0380,13,3,8,7,6,6
060BMS0384,NULL,1,1,1,1,NULL
060BMS0386,7,3,2,5,4,4
060BMS0390,3,8,4,5,13,5
060BMS0395,1,3,1,2,8,1
060BMS0400,16,12,14,21,21,21
060BMS0402,5,4,5,11,13,14
060BMS0405,4,5,1,NULL,3,2
060BMS0410,3,2,2,5,6,5
060BMS0420,2,1,3,2,5,3
060BMS0425,5,3,9,5,10,8
060BMS0490,NULL,NULL,NULL,NULL,2,NULL
060BMS0495,NULL,NULL,NULL,3,6,3
060BMS0500,NULL,NULL,NULL,1,NULL,NULL
060BMS0620,2,4,NULL,NULL,NULL,NULL
060BMS0630,5,4,NULL,NULL,NULL,NULL
060BMS0632,9,12,16,9,12,16
060BMS0634,1,2,3,6,NULL,3
060BMS0635,2,2,8,7,5,7
060BMS0636,NULL,1,NULL,NULL,1,1
060BMS0650,1,1,NULL,NULL,1,1
070BDF0010,112,129,127,114,191,153
070BDF0012,64,59,43,71,100,75
070BDF0030,28,15,11,14,17,14
070BDF0050,23,25,26,36,60,50
070BGO0070,26,15,28,51,71,70
070BGO0072,144,131,126,99,149,159
070BGO0075,30,25,27,28,29,48
070BGO0080,NULL,1,1,1,1,1
070BGO0085,1,NULL,NULL,1,NULL,1
070BGO0090,NULL,NULL,NULL,3,1,2
070BGO0110,1,2,1,1,2,4
070BGO0120,2,3,1,6,6,7
070BGO0190,NULL,1,2,3,NULL,NULL
070BGO0210,29,26,38,21,6,6
070BGO0220,2,5,1,3,2,NULL
070BGO0230,11,16,16,12,5,2
070BGO0250,4,11,8,10,3,2
070BGO0255,6,5,5,7,2,6
070BGO0260,11,10,8,20,4,11
070BGO0265,23,13,12,11,10,12
070BGO0275,1,NULL,NULL,NULL,NULL,1
070BMT0290,NULL,NULL,NULL,NULL,NULL,1
070BMT0295,NULL,NULL,NULL,1,1,NULL
070BMT0300,23,37,22,26,35,43
070BMT0310,11,28,34,32,36,39
070BMT0320,4,5,7,4,7,4
070BMT0321,3,4,12,8,10,13
070BMT0322,9,12,8,23,26,23
070BMT0324,NULL,3,1,6,10,2
070BMT0326,8,17,16,19,18,22
070BMT0328,2,6,7,9,9,13
070BMT0330,31,51,53,78,78,65
070BMT0350,28,54,56,65,48,35
070BMT0370,8,17,17,15,11,16
070BMT0372,9,8,21,18,22,20
070BMT0373,1,NULL,1,3,NULL,NULL
070BMT0374,40,37,31,39,31,52
070BMT0375,4,4,6,5,3,9
070BMT0376,10,3,2,5,4,5
070BMT0378,2,3,1,2,6,3
070BMT0390,6,5,5,2,3,18
070BMT0535,NULL,NULL,2,1,3,5
070BMT0550,19,27,33,30,40,22
070BMT0555,8,10,15,18,14,17
070BMT0560,1,4,2,3,NULL,5
070BMT0562,38,57,55,64,55,60
070BMT0570,106,120,167,170,110,144
070BMT0575,36,39,35,24,26,26
070BMT0580,24,21,21,22,21,22
070BMT0585,10,4,5,6,11,11
070BMT0592,6,7,1,3,7,2
070BMT0595,1,NULL,NULL,1,1,1
070BMT0600,2,1,NULL,1,4,2
070BMT0610,NULL,NULL,NULL,2,2,3
070BMT9510,6,14,12,10,14,11
080BGO0090,2,1,NULL,1,2,2
080BGO0095,3,NULL,6,32,25,23
080BGO0110,12,4,8,14,13,13
080BGO0130,16,15,16,15,14,16
080BGO0135,2,2,3,7,5,2
080BGO0140,4,3,5,6,12,6
080BGO0150,6,12,7,12,8,27
080BGO0190,NULL,1,NULL,NULL,NULL,NULL
080BGO0250,NULL,NULL,1,2,1,1
101BAL0590,2,5,4,5,NULL,1
101BAL0600,3,6,3,6,4,4
101BAL0610,4,6,7,7,6,1
101BAL0615,9,9,8,10,23,15
101BAL0620,71,50,57,58,63,52
101BAL0630,33,38,34,28,47,55
101BAL0650,27,37,30,34,30,38
101BAL0670,16,22,21,24,30,39
101BAL0690,3,6,8,13,9,7
101BAL0710,22,15,17,12,17,21
101BAL0730,4,4,4,2,3,4
101BAL0750,55,37,76,39,38,40
101BAL0770,44,42,53,25,28,30
101BAL0790,23,16,20,26,27,24
101BAL0810,28,27,11,29,20,16
101BAL0815,16,17,18,19,10,18
101BAL0820,18,13,12,20,18,15
101BAL0830,46,68,74,81,65,61
101BAL0850,87,72,73,99,88,101
101BAL0870,31,42,59,44,49,44
101BAL0890,42,46,35,26,34,37
101BAL0900,11,9,14,12,12,12
101BBA1410,3,9,17,14,9,31
101BBA1412,41,36,39,36,44,49
101BBA1430,39,71,50,53,49,48
101BBA1432,12,9,13,13,16,15
101BBA1450,37,26,46,30,27,27
101BBA1470,70,55,74,68,69,59
101BBA1472,9,7,19,11,12,15
101BBA1490,22,21,28,19,30,34
101BBA1510,34,30,46,59,32,38
101BBA1530,17,12,9,7,20,14
101BBA1540,12,19,19,24,37,22
101BBA1550,13,12,12,18,32,37
101BBA1570,35,25,24,21,40,36
101BBA1572,43,38,39,45,55,60
101BBA1574,27,46,41,64,63,44
101BBA1590,36,28,43,36,42,43
101BBA1610,8,7,11,15,11,14
101BBA1630,22,22,15,31,33,31
101BBA1632,24,21,21,23,30,25
101BBA1650,48,44,51,39,57,70
101BBA1670,15,14,23,29,36,22
101BBA1690,5,2,6,7,10,9
101BBA1695,12,10,9,13,24,12
101BBA1710,12,15,21,20,25,12
101BBA1711,28,27,17,33,32,29
101BBA1712,29,36,52,75,58,50
101BBA1730,3,2,2,4,2,3
101BBA1732,82,62,55,63,65,48
101BBA1734,58,42,55,52,46,37
101BBA1750,45,46,34,33,28,28
101BBA1751,9,10,5,18,18,21
101BBA1753,4,3,2,2,4,10
101BBA1754,41,29,30,30,50,64
101BBA1756,16,5,13,5,10,5
101BBA1770,19,16,9,16,13,19
101BBA1790,26,32,22,16,25,24
101BBA1810,65,82,78,70,72,94
101BBA1830,24,23,36,33,25,30
101BBA1832,24,26,31,32,39,36
101BBA1834,54,40,83,104,120,117
101BBA1836,11,21,29,72,47,48
101BBA1850,22,26,31,34,37,37
101BBA1870,2,15,4,19,29,27
101BBA1890,10,19,7,47,34,44
101BBA1892,44,42,32,91,90,77
101BBA1894,1,5,12,13,14,13
101BBA1896,37,45,57,48,23,30
101BBA1910,47,62,79,38,39,39
101BBA1912,30,45,44,33,36,41
101BBA1914,108,111,104,143,155,115
101BBA1930,135,113,153,148,165,142
101BBA1932,87,63,71,86,79,94
101BBA1950,42,26,27,36,36,49
101BBA1970,13,26,27,24,32,24
101BBA1971,128,97,109,132,156,127
101BBA1990,163,195,202,217,262,222
