snv,qtd_2007,qtd_2008,qtd_2009,qtd_2010,qtd_2011,qtd_2012
116BBA0632,4,19,23,36,43,31
116BBA0650,35,69,58,82,88,75
116BBA0670,2,1,NULL,NULL,1,2
116BBA0690,53,263,270,306,385,386
116BBA0700,13,52,53,88,84,93
116BBA0710,5,29,25,32,33,39
116BBA0712,90,77,93,71,112,129
116BBA0730,252,65,54,83,83,95
116BBA0750,137,73,74,123,110,116
116BBA0770,78,28,32,43,39,53
116BBA0790,21,21,26,32,40,27
116BBA0791,22,27,22,38,47,41
116BBA0792,5,5,11,26,23,25
116BBA0810,37,52,66,78,72,58
116BBA0812,29,23,31,34,34,28
116BBA0814,45,7,15,15,24,20
116BBA0830,25,21,25,26,43,42
116BBA0832,27,53,67,69,88,97
116BBA0850,36,44,65,66,69,90
116BBA0870,21,5,8,9,7,12
116BBA0890,5,2,1,3,1,3
116BBA0910,64,49,56,70,83,79
116BBA0912,50,43,34,45,40,64
116BBA0930,32,32,36,51,51,63
116BBA0932,36,36,29,51,60,70
116BBA0934,8,11,12,9,14,16
116BBA0950,50,44,27,51,53,70
116BBA0955,24,155,202,267,418,334
116BBA0960,6,4,6,6,6,16
116BBA0965,5,15,15,15,8,12
116BBA0970,288,123,109,168,161,175
116BBA0972,3,2,3,2,9,3
116BBA0990,17,18,20,27,24,25
116BCE0015,410,570,593,692,751,674
116BCE0020,42,60,57,79,86,74
116BCE0030,73,101,120,179,185,166
116BCE0040,29,28,48,41,58,56
116BCE0050,10,9,20,14,25,20
116BCE0060,15,26,26,43,50,48
116BCE0070,13,22,21,21,22,19
116BCE0080,19,24,39,30,28,19
116BCE0090,31,52,62,61,119,93
116BCE0100,17,25,29,28,72,40
116BCE0110,23,16,29,34,54,57
116BCE0120,21,19,14,29,53,22
116BCE0130,15,28,22,15,20,16
116BCE0140,3,2,1,4,5,5
116BCE0150,4,6,5,10,8,7
116BCE0160,13,11,8,18,14,14
116BCE0170,20,27,33,43,35,41
116BCE0180,2,5,8,6,10,1
116BCE0190,5,6,6,8,5,8
116BCE0200,3,2,3,3,4,2
116BCE0210,2,1,1,6,1,4
116BCE0220,8,4,9,11,6,7
116BCE0230,13,27,27,15,18,15
116BCE0240,17,10,23,26,33,22
116BCE0250,4,11,3,7,9,5
116BCE0260,46,40,41,46,41,38
116BCE0270,12,17,15,21,14,18
116BCE0280,1,6,7,4,4,4
116BCE0290,4,7,3,12,5,17
116BCE0295,1,8,4,6,7,12
116BCE0310,NULL,2,3,1,1,3
116BCE0350,NULL,1,2,6,4,NULL
116BCE0360,6,18,11,28,19,18
116BCE0370,14,19,24,48,30,28
116BCE0380,6,3,10,8,10,7
116BCE0390,13,14,14,13,20,17
116BCE0395,5,8,13,34,36,15
116BCE0410,10,6,4,7,16,7
116BCE0412,13,14,10,14,13,15
116BCE0414,9,13,4,24,19,9
116BCE0416,4,NULL,NULL,NULL,NULL,NULL
116BMG1010,36,63,36,37,66,52
116BMG1015,22,31,19,16,13,25
116BMG1020,32,38,44,36,25,33
116BMG1030,68,93,84,97,71,87
116BMG1050,114,106,124,120,95,103
116BMG1070,51,52,39,39,37,35
116BMG1090,76,101,98,107,93,110
116BMG1110,94,111,88,155,110,94
116BMG1130,159,187,212,243,184,168
116BMG1150,76,66,66,71,47,38
116BMG1160,70,51,59,59,47,36
116BMG1170,32,36,31,35,38,20
116BMG1175,46,44,51,43,57,52
116BMG1180,39,28,29,30,28,22
116BMG1185,118,117,144,116,109,90
116BMG1190,128,136,136,149,149,121
116BMG1195,92,101,94,114,82,67
116BMG1210,45,25,22,26,22,25
116BMG1230,109,155,164,173,184,145
116BMG1250,32,43,36,51,47,36
116BMG1270,105,91,106,99,70,74
116BMG1275,54,75,67,58,50,48
116BMG1280,111,115,131,122,158,138
116BMG1290,95,87,78,107,116,110
116BMG1300,44,46,53,41,99,102
116BMG1310,33,34,53,60,65,59
116BMG1330,25,36,35,35,54,43
116BMG1350,194,196,219,246,256,214
116BMG1370,121,135,121,154,134,91
116BMG1390,22,26,17,25,18,17
116BMG1410,65,86,100,112,80,104
116BMG1430,52,61,46,80,55,52
116BMG1450,149,118,116,164,148,116
116BMG1465,6,9,11,11,8,10
116BPB0330,NULL,1,1,3,4,4
116BPB0340,3,6,10,6,4,4
116BPE0430,NULL,NULL,NULL,NULL,1,NULL
116BPE0440,11,13,10,21,22,17
116BPE0450,19,20,26,34,46,39
116BPE0460,17,15,16,32,32,27
116BPE0470,3,6,6,4,8,6
116BPR2710,51,77,97,137,95,64
116BPR2720,99,219,247,254,269,141
116BPR2725,43,102,145,170,177,100
116BPR2730,182,292,302,307,268,255
116BPR2740,74,106,90,110,87,82
116BPR2750,46,46,64,76,53,56
116BPR2755,25,49,48,66,58,72
116BPR2760,68,83,130,179,159,129
116BPR2770,99,194,222,253,309,313
116BPR2780,75,127,135,118,126,119
116BPR2790,148,233,207,251,252,257
116BPR2793,177,213,255,243,275,351
116BPR2797,37,65,81,62,80,82
116BPR2800,43,48,64,72,83,78
116BPR2803,40,50,61,68,71,53
116BPR2810,49,82,73,75,54,89
116BPR9020,111,152,130,171,164,124
116BPR9030,107,151,159,138,146,157
116BPR9510,51,94,105,71,89,122
116BRJ1480,30,25,24,33,41,36
116BRJ1490,2,NULL,NULL,NULL,NULL,1
116BRJ1510,33,33,40,38,73,61
116BRJ1530,31,38,44,40,51,58
116BRJ1550,5,4,3,6,9,9
116BRJ1570,84,99,94,117,119,129
116BRJ1590,84,91,113,89,103,82
116BRJ1610,123,124,111,201,224,174
116BRJ1625,10,14,6,6,20,11
116BRJ1630,34,35,48,36,36,36
116BRJ1650,69,59,99,113,112,89
116BRJ1670,146,172,200,272,289,285
116BRJ1690,71,115,99,140,212,204
116BRJ1790,324,330,314,221,246,215
116BRJ1800,271,259,278,403,417,444
116BRJ1810,188,169,200,314,360,378
116BRJ1830,115,106,121,180,204,262
116BRJ1850,102,112,128,177,202,151
116BRJ1853,128,139,114,153,179,191
116BRJ1870,77,62,71,97,78,82
116BRJ1890,77,97,71,127,123,83
116BRJ1910,20,20,37,30,60,22
116BRJ1930,21,26,31,23,39,14
116BRJ1950,245,285,305,276,283,247
116BRJ1970,170,205,315,228,221,197
116BRJ1990,39,40,63,76,51,69
116BRJ2010,46,43,49,43,66,57
116BRJ2050,313,348,346,417,466,408
116BRJ2070,120,147,101,141,138,137
116BRJ2090,36,38,45,46,41,57
116BRJ2110,193,297,306,325,316,259
116BRJ2130,247,312,305,328,331,252
116BRJ2150,64,73,65,105,85,66
116BRJ2170,99,132,109,135,134,128
116BRJ2190,63,53,72,76,71,63
116BRJ9510,17,13,23,25,25,14
116BRS3010,58,58,87,289,224,251
116BRS3020,16,16,21,15,24,23
116BRS3030,124,108,121,128,140,159
116BRS3050,36,37,30,42,39,24
116BRS3070,48,42,49,55,66,61
116BRS3080,81,74,83,106,116,91
116BRS3090,71,82,81,114,133,111
116BRS3093,359,285,296,374,446,362
116BRS3100,70,63,69,81,114,65
116BRS3110,132,149,147,151,217,205
116BRS3130,29,42,27,52,34,44
116BRS3150,38,59,42,61,59,46
116BRS3160,43,55,58,60,51,47
116BRS3165,105,72,110,115,93,122
116BRS3168,51,40,53,61,78,74
116BRS3170,249,256,292,314,324,281
116BRS3190,742,699,793,964,1099,826
116BRS3210,337,354,378,490,552,518
116BRS3230,829,879,799,889,1012,875
116BRS3250,325,341,309,246,313,313
116BRS3260,45,35,24,NULL,NULL,NULL
116BRS3265,NULL,NULL,NULL,NULL,NULL,1
116BRS3270,27,34,27,40,50,52
116BRS3275,107,111,89,105,114,168
116BRS3290,23,14,14,20,27,19
116BRS3295,11,25,26,20,16,31
116BRS3297,51,37,31,55,43,50
116BRS3310,63,68,91,94,89,86
116BRS3330,36,55,51,69,62,53
116BRS3340,34,42,52,66,63,52
116BRS3350,14,15,35,24,36,20
116BRS3355,55,52,45,64,53,46
116BRS3360,15,29,29,31,30,40
116BRS3370,12,20,21,15,22,25
116BRS3380,25,18,25,50,48,45
116BRS3390,47,50,45,59,54,59
116BRS3410,12,7,10,16,14,18
116BRS3430,9,12,13,26,20,16
116BRS3450,22,22,16,28,21,28
116BSC2830,41,42,65,52,78,48
116BSC2850,52,75,75,86,58,51
116BSC2870,34,22,19,23,31,29
116BSC2875,36,44,50,51,57,57
116BSC2890,10,12,13,23,14,19
116BSC2891,77,77,119,105,116,93
116BSC2895,29,47,49,40,44,22
116BSC2897,11,15,26,21,23,24
116BSC2899,13,14,12,23,19,22
116BSC2910,81,99,113,99,63,88
116BSC2920,11,22,20,14,19,21
116BSC2930,82,73,79,80,68,81
116BSC2940,49,64,56,59,62,53
116BSC2950,73,67,72,86,100,92
116BSC2970,53,60,86,99,96,85
116BSC2990,65,63,61,64,59,71
116BSP2230,122,129,192,96,112,62
116BSP2243,42,40,31,41,40,30
116BSP2250,19,24,33,32,30,46
116BSP2255,51,50,52,39,46,63
116BSP2265,94,107,90,103,102,92
116BSP2270,71,69,79,80,80,84
116BSP2290,31,29,35,46,46,39
116BSP2310,107,87,90,96,108,82
116BSP2330,214,190,178,206,283,210
116BSP2340,109,118,117,162,133,166
116BSP2345,33,43,39,55,49,51
116BSP2350,58,34,39,63,40,50
116BSP2360,230,227,194,263,228,211
116BSP2370,196,202,238,261,267,304
116BSP2390,141,134,145,153,162,212
116BSP2410,162,157,176,164,218,224
116BSP2430,650,707,674,787,883,852
116BSP2450,494,599,571,642,666,580
116BSP2470,359,369,371,408,401,413
116BSP2490,595,581,496,562,577,734
116BSP2510,174,181,157,153,168,111
116BSP2520,817,798,616,737,849,753
116BSP2530,427,429,384,397,395,456
116BSP2560,411,508,470,489,539,537
116BSP2565,136,149,143,161,165,171
116BSP2570,300,340,369,313,352,335
116BSP2575,156,144,155,159,177,143
116BSP2582,1,5,6,9,11,7
116BSP2585,318,379,466,506,465,378
116BSP2587,110,67,124,115,119,142
116BSP2590,82,68,58,57,58,72
116BSP2600,98,60,61,57,52,55
116BSP2610,94,74,85,72,80,69
116BSP2630,249,218,210,237,238,224
116BSP2650,150,166,194,185,211,230
116BSP2670,77,64,66,74,81,59
116BSP2685,587,594,957,1058,994,854
116BSP2700,559,358,411,495,594,500
135BBA0530,NULL,NULL,1,2,1,4
135BBA0535,NULL,NULL,6,4,2,3
135BBA0540,8,19,21,23,19,14
135BBA0552,8,16,9,16,14,33
135BBA0560,8,16,15,19,16,19
135BBA0580,NULL,NULL,NULL,NULL,NULL,1
135BBA0590,1,NULL,NULL,19,36,27
135BBA0591,NULL,NULL,NULL,1,2,NULL
135BMA0020,54,48,45,55,111,85
135BMA0030,96,80,92,100,116,97
135BMA0040,61,84,88,118,111,112
135BMA0045,7,2,6,6,7,4
135BMA0050,92,81,108,128,168,166
135BMA0070,100,137,146,151,137,163
135BMA0090,15,24,16,25,22,23
135BMA0110,31,40,34,34,29,37
135BMA0130,5,5,7,9,2,7
135BMA0132,16,36,28,27,29,32
135BMA0135,10,9,11,17,17,13
135BMA0170,5,7,16,13,5,6
135BMA0190,15,9,20,15,26,24
135BMA0210,4,3,1,3,4,2
135BMA0230,NULL,NULL,2,1,1,1
135BMA0235,2,3,1,NULL,2,1
135BMA0240,NULL,NULL,NULL,NULL,1,1
135BMA0250,NULL,NULL,NULL,1,1,NULL
135BMA0252,NULL,1,NULL,NULL,NULL,NULL
135BMA0270,NULL,NULL,1,NULL,1,NULL
135BMA0272,NULL,NULL,1,NULL,2,1
135BMA0280,NULL,NULL,NULL,1,NULL,1
135BMA0290,1,3,2,3,NULL,2
135BMA0292,NULL,7,3,5,3,2
135BMA0294,3,6,3,3,5,NULL
135BMA9040,151,172,188,203,263,283
135BMG0660,1,1,NULL,NULL,1,NULL
135BMG0695,NULL,NULL,NULL,NULL,NULL,1
135BMG0750,133,167,185,193,204,168
135BMG0770,40,40,45,35,37,36
135BMG0790,68,73,92,83,74,73
135BMG0800,112,98,121,158,171,139
135BMG0810,33,28,50,38,36,35
135BMG0820,31,48,55,49,40,46
135BMG0830,NULL,1,4,3,4,1
135BMG0850,133,144,160,156,159,122
135BPI0380,2,NULL,1,NULL,NULL,NULL
135BPI0393,2,NULL,6,3,2,NULL
135BPI0395,NULL,NULL,1,1,NULL,NULL
135BPI0397,NULL,NULL,NULL,1,3,NULL
135BPI0405,NULL,NULL,2,1,4,NULL
135BPI0410,NULL,NULL,2,1,NULL,NULL
135BPI0415,NULL,NULL,NULL,1,1,NULL
135BPI0420,NULL,1,NULL,NULL,NULL,3
135BPI0423,1,NULL,NULL,1,NULL,2
135BPI0425,NULL,NULL,1,NULL,2,1
135BPI0427,2,NULL,NULL,NULL,NULL,1
135BPI0430,NULL,2,NULL,NULL,NULL,NULL
135BPI0440,1,NULL,NULL,NULL,NULL,NULL
135BPI0450,1,1,NULL,NULL,2,1
135BPI0470,NULL,1,NULL,1,2,1
135BPI0480,NULL,NULL,NULL,NULL,1,NULL
135BPI0495,1,1,NULL,NULL,NULL,NULL
135BPI0510,NULL,NULL,NULL,1,NULL,NULL
146BMG0010,NULL,NULL,NULL,NULL,1,NULL
146BMG0230,NULL,NULL,1,NULL,NULL,NULL
146BMG0252,6,3,NULL,NULL,NULL,NULL
146BMG0253,26,18,17,28,27,15
146BMG0270,20,12,17,11,7,16
146BMG0290,25,23,32,38,42,37
146BMG0295,14,15,14,17,16,23
146BMG0300,52,20,5,2,2,1
146BMG0305,20,11,1,NULL,3,NULL
146BMG0310,1,NULL,2,1,4,1
146BMG0315,14,16,28,38,32,26
153BGO0312,25,32,28,19,23,27
153BGO0330,26,22,28,21,27,39
153BGO0340,12,14,15,10,19,23
153BGO0350,33,40,56,76,45,49
153BGO0370,21,17,8,33,26,27
153BGO0390,16,19,25,40,31,28
153BGO0392,38,37,44,65,57,47
153BGO0410,47,65,62,99,72,64
153BGO0430,42,39,41,53,55,53
153BGO0450,28,39,36,36,51,39
153BGO0452,9,12,13,19,21,16
153BGO0470,5,7,6,5,8,6
153BGO0471,28,42,37,49,45,42
153BGO0472,34,51,51,28,39,39
153BGO0474,8,8,4,9,9,9
153BGO0490,51,62,80,89,94,73
153BGO0495,7,8,12,9,17,14
153BGO0510,20,31,40,58,44,42
153BGO0530,19,18,28,17,27,30
153BGO0550,32,30,23,30,29,35
153BGO0552,26,18,28,44,34,30
153BGO0560,44,51,46,57,84,70
153BGO0570,51,38,56,76,70,89
153BGO0590,199,185,222,191,180,160
153BGO0592,132,159,177,184,198,221
153BGO0610,93,281,120,92,89,91
153BGO0612,305,336,432,536,518,444
153BGO0620,58,62,75,53,63,78
153BGO0625,66,84,68,90,91,93
153BGO0627,5,6,12,25,23,28
153BGO0628,88,75,86,88,63,62
153BGO0632,25,32,34,40,51,41
153BGO0650,37,48,58,43,51,54
153BGO0655,20,60,36,90,86,64
153BGO0670,32,76,59,59,85,80
153BGO0690,19,25,32,35,39,35
153BGO0710,3,3,5,6,7,1
153BGO0711,55,38,74,64,53,46
153BGO0712,32,43,56,41,80,42
153BGO0730,42,28,33,24,28,16
153BGO0750,36,38,48,48,67,37
153BGO0770,32,27,45,35,47,45
153BMG0790,33,27,30,59,31,36
153BMG0800,65,68,55,69,92,97
153BMG0810,43,61,61,60,84,75
153BMG0830,119,159,176,174,141,118
153BMG0850,30,56,55,63,67,43
153BMG0857,27,30,25,35,31,25
153BMG0863,24,44,24,40,35,24
153BMG0870,72,75,75,79,124,107
153BMG0890,18,12,12,18,29,28
153BMG0910,95,76,58,68,79,68
153BPA0010,NULL,NULL,1,1,4,2
153BPA0030,NULL,NULL,1,3,3,3
153BPA0050,6,13,4,5,2,6
153BPA0070,9,14,3,4,3,5
153BPR1210,NULL,NULL,1,2,1,3
153BPR1213,NULL,NULL,37,37,43,39
153BPR1220,NULL,NULL,9,31,24,30
153BPR1230,NULL,NULL,28,35,44,49
153BPR1240,NULL,NULL,6,5,4,5
153BPR1250,NULL,NULL,6,13,8,3
153BPR1252,NULL,NULL,6,16,10,16
153BPR1253,NULL,NULL,3,6,11,7
153BPR1255,NULL,NULL,9,18,31,20
153BPR1270,NULL,NULL,2,9,12,8
153BPR1290,NULL,NULL,3,1,3,2
153BPR1293,NULL,NULL,6,13,5,10
153BPR1295,NULL,NULL,2,6,9,9
153BPR1297,NULL,NULL,1,5,2,8
153BPR1298,NULL,NULL,5,9,9,5
153BPR1300,NULL,NULL,2,5,5,5
153BPR1305,NULL,NULL,2,3,4,5
153BPR1310,NULL,NULL,2,2,7,4
153BPR1320,NULL,NULL,NULL,NULL,43,32
153BPR1330,NULL,NULL,1,3,8,8
153BPR1350,NULL,NULL,5,6,9,13
153BPR1400,NULL,NULL,NULL,NULL,5,4
153BPR1410,NULL,NULL,NULL,NULL,11,6
153BPR1420,NULL,NULL,NULL,NULL,10,8
153BPR1430,NULL,NULL,NULL,NULL,11,21
153BPR1431,NULL,NULL,NULL,NULL,25,28
153BPR1433,NULL,NULL,NULL,NULL,21,20
153BPR1437,NULL,NULL,NULL,NULL,18,9
153BPR1440,NULL,NULL,NULL,NULL,20,16
153BPR1443,NULL,NULL,NULL,NULL,10,6
153BPR1445,NULL,NULL,NULL,NULL,4,2
153BPR1450,NULL,NULL,6,1,11,10
153BPR1470,NULL,NULL,15,30,20,27
153BPR1475,NULL,NULL,NULL,1,4,5
153BPR1480,NULL,NULL,4,10,8,6
153BPR1490,NULL,NULL,40,78,64,69
153BPR1497,NULL,NULL,31,46,34,28
153BPR1500,NULL,NULL,35,64,74,65
153BRS1655,23,20,25,22,41,28
153BRS1658,41,31,36,49,48,40
153BRS1660,16,12,17,27,34,48
153BRS1662,93,88,101,116,128,109
153BRS1663,8,6,4,11,17,12
153BRS1664,1,1,5,3,3,2
153BRS1666,NULL,NULL,NULL,1,1,NULL
153BRS1785,11,5,12,17,21,16
153BRS1800,NULL,NULL,1,1,NULL,NULL
153BRS1840,5,6,5,8,7,9
153BRS1850,4,7,6,7,13,10
153BRS1870,33,40,45,11,16,12
153BRS1890,33,17,28,16,19,33
153BRS1895,22,14,14,20,23,26
153BRS1910,1,1,NULL,NULL,NULL,2
153BRS1920,2,1,2,NULL,2,4
153BRS1930,3,4,2,4,7,4
153BRS9000,8,10,6,12,11,12
153BSC1530,17,12,19,9,22,14
153BSC1540,2,4,5,6,3,6
153BSC1550,41,53,38,43,58,36
153BSC1565,44,47,36,43,50,31
153BSC1570,67,69,65,71,72,72
153BSC1590,24,22,18,18,33,22
153BSC1610,23,24,20,24,24,19
153BSC1620,3,5,7,5,9,4
153BSC1630,6,9,7,10,13,10
153BSP0950,13,4,13,11,11,15
153BSP0953,68,58,46,48,62,61
153BSP0970,6,8,7,7,14,13
153BSP0973,6,8,14,9,17,6
153BSP0975,15,51,51,42,52,55
153BSP0980,189,237,181,227,250,274
153BSP0990,59,100,87,144,149,158
153BSP0995,63,65,40,53,86,82
153BSP1000,66,66,79,74,83,121
153BSP1010,57,78,121,111,127,116
153BSP1023,10,20,12,18,20,24
153BSP1030,75,72,91,109,91,103
153BSP1040,20,15,13,17,25,22
153BSP1043,10,15,15,20,28,15
153BSP1045,5,11,9,10,7,9
153BSP1050,20,35,32,37,45,45
153BSP1070,37,20,14,16,17,19
153BSP1077,21,32,29,28,37,33
153BSP1130,52,74,99,113,94,114
153BSP1140,11,29,18,23,30,23
153BSP1145,4,3,4,4,3,6
153BSP1150,19,17,18,29,26,26
153BSP1170,14,15,14,27,21,25
153BSP1190,2,4,2,NULL,1,3
153BTO0075,NULL,NULL,NULL,NULL,1,2
153BTO0080,NULL,1,NULL,1,NULL,NULL
153BTO0085,1,3,1,4,6,4
153BTO0090,NULL,1,NULL,2,NULL,NULL
153BTO0095,5,9,9,4,8,11
153BTO0100,14,19,17,22,27,24
153BTO0105,28,33,43,49,55,47
153BTO0110,61,55,88,79,91,90
153BTO0115,23,26,31,35,43,44
153BTO0120,32,21,47,31,43,55
153BTO0125,10,18,18,24,17,18
153BTO0130,13,13,29,16,24,21
153BTO0135,22,20,29,37,23,53
153BTO0140,2,7,11,3,4,6
153BTO0145,1,7,NULL,1,3,7
153BTO0150,21,14,33,32,29,33
153BTO0155,11,9,11,6,5,8
153BTO0160,1,4,3,1,5,7
153BTO0165,13,22,22,35,26,42
153BTO0170,9,3,4,9,6,8
153BTO0175,15,16,12,26,18,26
153BTO0180,10,10,21,18,18,26
153BTO0190,19,29,26,37,56,48
153BTO0195,11,9,13,26,19,16
153BTO0200,4,9,8,15,8,7
153BTO0205,NULL,2,4,3,4,2
153BTO0210,23,26,17,19,23,23
153BTO0220,25,24,36,43,40,32
153BTO0225,NULL,2,1,4,1,2
153BTO0230,1,1,5,3,3,5
153BTO0235,10,8,9,10,14,12
153BTO0240,18,28,17,32,34,34
153BTO0245,13,2,7,14,14,14
153BTO0250,4,13,7,8,15,17
153BTO0260,42,51,40,48,44,35
153BTO0265,37,31,56,61,75,56
153BTO0270,2,NULL,NULL,NULL,1,2
153BTO0275,16,11,10,9,14,22
153BTO0280,1,2,4,2,2,1
153BTO0290,40,54,42,53,37,48
153BTO0295,13,12,24,25,23,12
153BTO0300,25,42,34,42,34,32
153BTO0305,30,31,41,41,28,27
153BTO0310,NULL,1,2,1,3,2
155BPA0010,NULL,NULL,NULL,NULL,2,25
155BPA0050,NULL,NULL,NULL,NULL,2,9
155BPA0100,NULL,NULL,NULL,NULL,6,4
155BPA0150,NULL,NULL,NULL,NULL,6,9
155BPA0200,NULL,NULL,NULL,NULL,62,101
156BAP0010,NULL,NULL,NULL,NULL,NULL,1
156BAP0030,3,4,3,NULL,NULL,2
156BAP0040,1,NULL,NULL,NULL,1,NULL
156BAP0050,5,4,4,2,5,10
156BAP0070,1,1,NULL,2,2,7
156BAP0090,8,9,5,7,11,12
156BAP0110,4,7,8,11,19,20
156BAP0130,1,4,4,8,31,5
156BAP0150,9,13,8,12,18,12
156BAP0170,1,4,3,3,6,4
156BAP0210,3,3,1,1,NULL,2
156BAP0250,3,3,1,NULL,5,NULL
156BAP0260,1,1,1,1,NULL,NULL
156BAP0270,3,3,2,NULL,1,1
156BAP0290,1,NULL,NULL,1,NULL,NULL
156BAP0310,NULL,2,NULL,1,NULL,NULL
156BAP0320,2,1,1,NULL,2,NULL
156BAP0350,1,NULL,2,NULL,1,NULL
156BAP0370,1,1,1,NULL,1,1
156BAP0390,NULL,1,NULL,NULL,1,NULL
156BAP0410,NULL,1,1,NULL,NULL,2
156BAP0420,NULL,1,NULL,NULL,NULL,NULL
156BAP0430,NULL,NULL,NULL,NULL,NULL,1
158BGO0310,14,19,21,24,13,14
158BGO0320,20,14,27,8,8,11
158BGO0325,NULL,NULL,NULL,1,NULL,1
158BGO0330,7,6,5,13,5,4
158BGO0335,4,11,15,10,4,5
158BGO0340,1,1,NULL,NULL,2,1
158BGO0345,3,7,3,4,3,3
158BGO0348,NULL,NULL,1,3,3,2
158BGO0350,10,7,13,15,11,13
158BGO0355,5,10,10,11,14,17
158BGO0360,8,7,9,9,7,10
158BGO0370,15,23,35,23,32,24
158BGO0375,2,22,26,45,53,71
158BGO0380,NULL,15,22,13,31,28
158BGO0385,NULL,21,28,25,32,49
158BGO0388,NULL,16,13,28,30,28
158BMS0430,4,7,3,2,4,2
158BMS0431,5,9,6,16,10,6
158BMS0432,20,16,14,19,15,21
158BMS0434,5,2,6,3,8,7
158BMS0436,18,7,8,18,12,12
158BMS0440,28,22,22,24,23,29
158BMS0445,2,4,7,3,4,1
158BMS0450,1,5,7,1,4,5
158BMS0455,8,16,13,15,14,17
158BMS0460,65,26,37,40,45,46
158BMS0470,3,1,NULL,NULL,3,3
158BMS0480,18,10,9,14,17,17
158BMS0490,1,2,3,4,6,6
158BMS0491,5,5,3,9,15,26
158BMS0500,2,6,1,2,10,9
158BMS0510,9,16,11,17,17,33
158BMS0520,3,6,6,11,13,10
158BMS0530,NULL,NULL,NULL,21,46,70
158BMS0532,NULL,NULL,NULL,NULL,1,NULL
158BMS0535,NULL,NULL,NULL,1,5,6
158BMT0170,NULL,NULL,2,NULL,1,NULL
158BMT0190,2,NULL,NULL,NULL,1,NULL
158BMT0210,NULL,NULL,NULL,NULL,NULL,2
158BMT0212,NULL,NULL,NULL,NULL,NULL,1
158BMT0215,NULL,NULL,NULL,1,NULL,NULL
158BMT0220,NULL,1,2,5,5,13
158BMT0223,NULL,NULL,2,3,1,2
158BMT0225,1,4,NULL,2,4,4
158BMT0235,8,9,12,2,21,8
158BMT0240,3,NULL,5,2,1,5
158BMT0242,2,3,3,4,2,5
158BMT0245,4,6,4,NULL,4,3
158BMT0250,3,4,5,2,5,7
158BMT0255,11,8,17,20,19,25
158BMT0260,3,4,2,6,3,4
158BMT0262,23,26,21,29,45,36
158BMT0264,1,2,2,2,3,5
158BMT0265,3,1,2,4,3,1
158BMT0266,2,1,2,1,2,2
158BMT0270,13,32,16,13,11,20
158BMT0272,13,21,20,26,19,18
158BMT0280,16,22,17,27,11,15
158BMT0282,13,14,26,18,16,16
158BPA0040,NULL,NULL,NULL,NULL,1,NULL
158BPA0110,NULL,NULL,NULL,NULL,NULL,4
158BPA0113,NULL,NULL,NULL,NULL,NULL,2
158BPA0115,NULL,NULL,NULL,NULL,NULL,3
158BPR0710,NULL,NULL,NULL,NULL,NULL,2
158BPR0870,NULL,NULL,35,47,49,53
158BPR0875,NULL,NULL,30,42,12,7
158BPR0880,NULL,NULL,NULL,3,9,4
158BPR0890,NULL,NULL,NULL,3,NULL,1
158BPR0900,NULL,NULL,NULL,NULL,NULL,1
158BPR0905,NULL,NULL,NULL,NULL,NULL,1
158BPR0910,NULL,NULL,NULL,NULL,10,1
158BPR0920,NULL,NULL,NULL,NULL,4,9
158BPR0925,NULL,NULL,4,3,13,13
158BPR0927,NULL,NULL,5,3,7,6
158BPR0930,NULL,NULL,28,31,36,38
158BPR0940,NULL,NULL,11,13,16,7
158BPR0960,NULL,NULL,9,18,16,14
158BPR0965,NULL,NULL,NULL,NULL,2,NULL
158BPR0970,NULL,NULL,65,117,152,157
158BPR0990,NULL,NULL,3,19,22,21
158BPR9010,NULL,NULL,NULL,16,50,59
158BRS1170,NULL,NULL,NULL,NULL,NULL,13
158BRS1190,NULL,NULL,NULL,NULL,NULL,7
158BRS1192,NULL,1,NULL,NULL,NULL,NULL
158BRS1195,NULL,NULL,3,2,NULL,NULL
158BRS1210,38,56,52,83,70,48
158BRS1230,4,10,6,12,10,17
158BRS1235,25,26,30,28,23,20
158BRS1240,11,17,7,20,9,19
158BRS1250,9,12,7,18,22,19
158BRS1260,23,32,26,53,41,45
158BRS1270,25,14,20,21,32,25
158BRS1290,23,20,19,35,34,23
158BRS1310,81,59,72,66,45,49
158BRS1315,23,19,11,7,12,9
158BRS1317,59,60,53,38,32,17
158BRS1319,64,49,23,NULL,NULL,NULL
158BRS1330,30,41,83,102,93,67
158BRS1340,NULL,6,3,5,11,7
158BRS1350,NULL,NULL,1,NULL,NULL,NULL
158BRS1360,8,2,NULL,NULL,NULL,NULL
158BRS1370,31,38,41,56,34,33
158BRS1390,28,30,23,15,35,20
158BRS1400,24,11,6,2,2,1
158BRS1405,2,9,18,14,11,12
158BRS1410,NULL,NULL,4,22,25,17
158BRS9000,NULL,NULL,12,14,18,23
158BSC1067,17,19,19,20,18,21
158BSC1070,19,16,27,18,30,26
158BSC1080,5,2,4,11,8,11
158BSC1090,15,14,7,23,16,14
163BMS0150,34,57,64,115,97,53
163BMS0160,29,26,18,26,28,23
163BMS0170,8,5,12,8,11,8
163BMS0190,39,54,36,53,47,29
163BMS0195,43,34,35,52,40,44
163BMS0210,29,40,26,51,26,28
163BMS0212,20,18,24,34,27,14
163BMS0213,6,8,9,10,7,2
163BMS0214,5,2,5,4,4,5
163BMS0222,8,14,14,12,12,9
163BMS0230,24,19,32,26,31,25
163BMS0250,3,10,6,17,11,13
